Cam,Date,Ocp
cam1,202103241255,19433
cam2,202103241255,40961
cam3,202103241255,6298
cam4,202103241255,3076
cam5,202103241255,47993
cam6,202103241255,24449
cam7,202103241255,1093846
cam8,202103241255,59899
cam9,202103241255,547514
cam10,202103241255,50584
cam11,202103241255,30990
cam12,202103241255,1119063
cam13,202103241255,727425
cam14,202103241255,24970
cam15,202103241255,680210
cam16,202103241255,349197
cam17,202103241255,25137
cam18,202103241255,71331
cam19,202103241255,626044
cam20,202103241255,325433
cam21,202103241255,124408
cam22,202103241255,559796
cam23,202103241255,19962
cam24,202103241255,787857
cam25,202103241255,240837
cam26,202103241255,19832
cam27,202103241255,11657
cam28,202103241255,464274
cam29,202103241255,848453
cam30,202103241255,4638
cam31,202103241255,16626
cam32,202103241255,692912
cam33,202103241255,1248681
cam34,202103241255,42328
cam35,202103241255,411105
cam36,202103241255,1133148
cam37,202103241255,1031890
cam38,202103241255,865714
cam39,202103241255,868930
cam40,202103241255,659445
cam41,202103241255,5952
cam42,202103241255,39851
cam43,202103241255,642932
cam44,202103241255,39409
cam45,202103241255,767262
cam46,202103241255,7110
cam47,202103241255,738965
cam48,202103241255,9580
cam49,202103241255,1949393
cam50,202103241255,4851
cam51,202103241255,421768
cam52,202103241255,41499
cam53,202103241255,891208
cam54,202103241255,6350
cam55,202103241255,683067
cam56,202103241255,317929
cam57,202103241255,135316
cam58,202103241255,770744
cam59,202103241255,415089
cam60,202103241255,938900
cam61,202103241255,227456
cam62,202103241255,614540
cam64,202103241255,1148727
cam65,202103241255,312540
cam66,202103241255,530314
cam1,202103241300,34315
cam2,202103241300,75679
cam3,202103241300,6813
cam4,202103241300,3448
cam5,202103241300,20372
cam6,202103241300,3096
cam7,202103241300,1448875
cam8,202103241300,64382
cam9,202103241300,908900
cam10,202103241300,43507
cam11,202103241300,31185
cam12,202103241300,1079854
cam13,202103241300,289891
cam14,202103241300,42348
cam15,202103241300,826168
cam16,202103241300,312550
cam17,202103241300,13285
cam18,202103241300,100949
cam19,202103241300,507235
cam20,202103241300,548526
cam21,202103241300,101622
cam22,202103241300,488533
cam23,202103241300,15387
cam24,202103241300,828286
cam25,202103241300,241725
cam26,202103241300,25746
cam27,202103241300,15990
cam28,202103241300,445435
cam29,202103241300,489152
cam30,202103241300,8940
cam31,202103241300,133401
cam32,202103241300,488251
cam33,202103241300,237435
cam34,202103241300,48959
cam35,202103241300,906819
cam36,202103241300,339859
cam37,202103241300,1076329
cam38,202103241300,929796
cam39,202103241300,302707
cam40,202103241300,773201
cam41,202103241300,3739
cam42,202103241300,44077
cam43,202103241300,368137
cam44,202103241300,97981
cam45,202103241300,840341
cam46,202103241300,13256
cam47,202103241300,629742
cam48,202103241300,1651
cam49,202103241300,1972904
cam50,202103241300,11030
cam51,202103241300,250357
cam52,202103241300,173
cam53,202103241300,944680
cam54,202103241300,14333
cam55,202103241300,1729130
cam56,202103241300,196280
cam57,202103241300,117482
cam58,202103241300,649787
cam59,202103241300,697767
cam60,202103241300,987965
cam61,202103241300,477437
cam62,202103241300,534423
cam64,202103241300,2035078
cam65,202103241300,289998
cam66,202103241300,388799
